epoch;accuracy;loss;val_accuracy;val_loss
0;0.6599597334861755;0.9394617676734924;0.6339475512504578;0.8409562110900879
1;0.6901408433914185;0.870250940322876;0.6389085650444031;0.8168761134147644
2;0.6659959554672241;0.9379234910011292;0.6459957361221313;0.7924034595489502
3;0.6841046214103699;0.8824126124382019;0.6541460156440735;0.7715668082237244
4;0.668008029460907;0.866723895072937;0.6591070294380188;0.753645658493042
5;0.6841046214103699;0.8007173538208008;0.6619418859481812;0.7369139790534973
6;0.6740442514419556;0.7852073311805725;0.6700921058654785;0.7229769825935364
7;0.7022132873535156;0.8220109939575195;0.6750531792640686;0.7104963064193726
8;0.696177065372467;0.7865195274353027;0.6817859411239624;0.6996656060218811
9;0.7283702492713928;0.7274640798568726;0.6853295564651489;0.6901909112930298
10;0.7122736573219299;0.7314057946205139;0.6899362206459045;0.6797569990158081
11;0.6981891393661499;0.7271152138710022;0.6934797763824463;0.6707354187965393
12;0.7303823232650757;0.6991841793060303;0.6948972344398499;0.6621677875518799
13;0.6941649913787842;0.7403349280357361;0.6995038986206055;0.6531489491462708
14;0.72635817527771;0.6834542155265808;0.7034018635749817;0.6441097855567932
15;0.7404426336288452;0.6818328499794006;0.7087172269821167;0.6352958083152771
16;0.7223340272903442;0.6982681155204773;0.7133238911628723;0.6276384592056274
17;0.7082495093345642;0.6881816387176514;0.718993604183197;0.6205912232398987
18;0.7505030035972595;0.6485787034034729;0.7225372195243835;0.6133726239204407
19;0.7525150775909424;0.6306362748146057;0.7282069325447083;0.6065009236335754
20;0.7344064116477966;0.6745946407318115;0.7306874394416809;0.599766194820404
21;0.7323943376541138;0.6408373117446899;0.7345854043960571;0.5926697254180908
22;0.7464788556098938;0.6270816922187805;0.7363572120666504;0.5865432024002075
23;0.7283702492713928;0.6228948831558228;0.7437987327575684;0.5789746642112732
24;0.7424547076225281;0.6109110713005066;0.7466335892677307;0.5725691318511963
25;0.7625754475593567;0.5944960117340088;0.7498227953910828;0.5669682621955872
26;0.7706237435340881;0.5733253359794617;0.7508859038352966;0.5617675185203552
27;0.7665995955467224;0.5825822949409485;0.7562012672424316;0.5559206604957581
28;0.7826961874961853;0.5590212345123291;0.7586817741394043;0.55024653673172
29;0.7907444834709167;0.5387750864028931;0.7608079314231873;0.5457051396369934
30;0.7847082614898682;0.5490493774414062;0.7632884383201599;0.5411224365234375
31;0.7464788556098938;0.5862790942192078;0.7661232948303223;0.5360908508300781
32;0.7464788556098938;0.6008808016777039;0.7710843086242676;0.5310627222061157
33;0.7565392255783081;0.5965255498886108;0.7753366231918335;0.525611162185669
34;0.7786720395088196;0.550748348236084;0.7767540812492371;0.5212609767913818
35;0.7565392255783081;0.5615391135215759;0.7785258889198303;0.5165510177612305
36;0.7847082614898682;0.49548396468162537;0.7802976369857788;0.5120000243186951
37;0.7907444834709167;0.5010917782783508;0.7827781438827515;0.5081294178962708
38;0.8028169274330139;0.5033398866653442;0.7856130599975586;0.5033929347991943
39;0.7706237435340881;0.5414488911628723;0.7888022661209106;0.49937912821769714
40;0.7947686314582825;0.5265549421310425;0.7888022661209106;0.4962463080883026
41;0.8128772377967834;0.4938724935054779;0.7912827730178833;0.4934852719306946
42;0.8148893117904663;0.4786617159843445;0.7927002310752869;0.4897831678390503
43;0.8068410754203796;0.4752991199493408;0.793763279914856;0.4868465065956116
44;0.8128772377967834;0.49155256152153015;0.7969525456428528;0.4835340082645416
45;0.8229376077651978;0.44734346866607666;0.799078643321991;0.4805888831615448
46;0.7847082614898682;0.5032547116279602;0.7997874021530151;0.4787743389606476
47;0.8068410754203796;0.5066707134246826;0.8026222586631775;0.47532063722610474
